"氣派門聽,低公設復北辦公,黃金商圈.",rent-detail-3391954.html,"氣派門聽,低公設復北辦公,黃金商圈.黃金曝光
氣派門聽,低公設復北辦公,黃金商圈.
氣派門聽,低公設復北辦公,黃金商圈.
黃金曝光
忠信大廈　台北市-中山區 復興北路48號
辦公，樓層：11/12
28分鐘內更新  屋主 白先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",30坪,"39,500元",http://p2.cdn.591.com.tw/house/active/2013/01/08/135763417927955204_128x92.jpg
辦公大樓-西華飯店對面,rent-detail-3405775.html,"辦公大樓-西華飯店對面黃金曝光
辦公大樓-西華飯店對面
辦公大樓-西華飯店對面
黃金曝光
保富金融大樓　台北市-松山區 民生東路三段128號
辦公，樓層：4/16
38分鐘內更新  屋主 張小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",86坪,"129,000元",http://p1.cdn.591.com.tw/house/active/2013/12/06/138630410908164209_128x92.jpg
"雙捷運匯集區,帷幕辦雙面採光,裝潢實用.",rent-detail-3392938.html,"雙捷運匯集區,帷幕辦雙面採光,裝潢實用.黃金曝光
雙捷運匯集區,帷幕辦雙面採光,裝潢實用.
雙捷運匯集區,帷幕辦雙面採光,裝潢實用.
黃金曝光
台北市-松山區 復興北路
辦公，樓層：10/16
38分鐘內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",70.5坪,"139,772元",http://p2.cdn.591.com.tw/house/active/2015/04/28/143019108811437804_128x92.jpg
台北新東區全新辦公大樓,rent-detail-3368491.html,"台北新東區全新辦公大樓黃金曝光
台北新東區全新辦公大樓
台北新東區全新辦公大樓
黃金曝光
御城　台北市-南港區 南港路三段47巷8號
辦公，樓層：10/11
38分鐘內更新  屋主 周先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",184坪,"240,000元",http://p1.cdn.591.com.tw/house/active/2012/12/02/135444962534063802_128x92.jpg
南京東路二段小型辦公室,rent-detail-3407489.html,"南京東路二段小型辦公室黃金曝光
南京東路二段小型辦公室
南京東路二段小型辦公室
黃金曝光
台北市-中山區 南京東路二段178號
辦公，樓層：5/13
38分鐘內更新  代理人 王小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",4坪,"16,800元",http://p2.cdn.591.com.tw/house/active/2014/10/16/141343082473588502_128x92.jpg
"絕對超值時尚辦,樓中樓設計唯美風格.優!",rent-detail-3375924.html,"絕對超值時尚辦,樓中樓設計唯美風格.優!黃金曝光
絕對超值時尚辦,樓中樓設計唯美風格.優!
絕對超值時尚辦,樓中樓設計唯美風格.優!
黃金曝光
台北市-內湖區 瑞光路
辦公，樓層：5/9
38分鐘內更新  仲介 松華商仲   吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",81坪,"128,864元",http://p2.cdn.591.com.tw/house/active/2015/05/20/143211782906554006_128x92.jpg
台北新東區全新辦公大樓,rent-detail-3368476.html,"台北新東區全新辦公大樓黃金曝光
台北新東區全新辦公大樓
台北新東區全新辦公大樓
黃金曝光
御城　台北市-南港區 南港路三段47巷
辦公，樓層：3/11
43分鐘內更新  屋主 周先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",200坪,"250,000元",http://p1.cdn.591.com.tw/house/active/2012/12/02/135444962534063802_128x92.jpg
101商圈公車總站-1樓邊間停車方便,rent-detail-3428258.html,"101商圈公車總站-1樓邊間停車方便黃金曝光
101商圈公車總站-1樓邊間停車方便
101商圈公車總站-1樓邊間停車方便
黃金曝光
吳興大廈　台北市-信義區 吳興街
辦公，樓層：1/7
43分鐘內更新  屋主 李太太  
地圖收藏問答(0)
地圖
收藏
問答(0)",20坪,"23,000元",http://p1.cdn.591.com.tw/house/active/2014/02/13/139230493078865309_128x92.jpg
捷運敦化站黃金商圈，優質小型辦公室出租,rent-detail-3377435.html,"捷運敦化站黃金商圈，優質小型辦公室出租黃金曝光
捷運敦化站黃金商圈，優質小型辦公室出租
捷運敦化站黃金商圈，優質小型辦公室出租
黃金曝光
台北市-大安區 忠孝東路四段169號
辦公，樓層：11/12
43分鐘內更新  屋主 林小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",4坪,"16,000元",http://p1.cdn.591.com.tw/house/active/2015/05/21/143218909330832703_128x92.jpg
仁愛路四段國父紀念館捷運站辦公室,rent-detail-3399982.html,"仁愛路四段國父紀念館捷運站辦公室黃金曝光
仁愛路四段國父紀念館捷運站辦公室
仁愛路四段國父紀念館捷運站辦公室
黃金曝光
台北市-大安區 仁愛路四段
辦公，樓層：6/12
43分鐘內更新  仲介 黃先生  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",56坪,"59,000元",http://p1.cdn.591.com.tw/house/active/2015/06/09/143382046126299209_128x92.jpg
西湖公園清新辦環境優美機能便利屋漂亮超棒,rent-detail-3410368.html,"西湖公園清新辦環境優美機能便利屋漂亮超棒黃金曝光
西湖公園清新辦環境優美機能便利屋漂亮超棒
西湖公園清新辦環境優美機能便利屋漂亮超棒
黃金曝光
台北市-內湖區 堤頂大道二段
辦公，樓層：2/10
44分鐘內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",84.8坪,"106,848元",http://p2.cdn.591.com.tw/house/active/2015/06/05/143349335465457200_128x92.jpg
大直精華地段典雅辦公室,rent-detail-3406137.html,"大直精華地段典雅辦公室黃金曝光
大直精華地段典雅辦公室
大直精華地段典雅辦公室
黃金曝光
水名錄　台北市-中山區 明水路650號
辦公，樓層：9/10
44分鐘內更新  屋主 林先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",13坪,"35,000元",http://p2.cdn.591.com.tw/house/active/2015/04/25/142997568657558105_128x92.jpg
捷運學校晴光商圈機能優時尚風格辦值得一看,rent-detail-3419169.html,"捷運學校晴光商圈機能優時尚風格辦值得一看黃金曝光
捷運學校晴光商圈機能優時尚風格辦值得一看
捷運學校晴光商圈機能優時尚風格辦值得一看
黃金曝光
台北市-中山區 林森北路
辦公，樓層：8/10
44分鐘內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",110坪,"180,000元",http://p2.cdn.591.com.tw/house/active/2015/06/09/143383699586421700_128x92.jpg
學區雙捷運商圈稀有辦雅緻舒適新空出.搶快,rent-detail-3375691.html,"學區雙捷運商圈稀有辦雅緻舒適新空出.搶快
學區雙捷運商圈稀有辦雅緻舒適新空出.搶快
學區雙捷運商圈稀有辦雅緻舒適新空出.搶快
台北市-大安區 信義路四段
辦公，樓層：5/17
44分鐘內更新  仲介 松華商仲   吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",104.3坪,"139,900元",http://p2.cdn.591.com.tw/house/active/2015/05/20/143211253480117400_128x92.jpg
"近遠企商圈時尚辦,環境優美視野棒屋況佳!",rent-detail-3393600.html,"近遠企商圈時尚辦,環境優美視野棒屋況佳!黃金曝光
近遠企商圈時尚辦,環境優美視野棒屋況佳!
近遠企商圈時尚辦,環境優美視野棒屋況佳!
黃金曝光
台北市-大安區 敦化南路二段
辦公，樓層：12/21
44分鐘內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",66坪,"95,000元",http://p2.cdn.591.com.tw/house/active/2015/05/29/143287931650141800_128x92.jpg
"世貿旁著名辦,簡潔方正稀有空出屋況佳!",rent-detail-3392913.html,"世貿旁著名辦,簡潔方正稀有空出屋況佳!黃金曝光
世貿旁著名辦,簡潔方正稀有空出屋況佳!
世貿旁著名辦,簡潔方正稀有空出屋況佳!
黃金曝光
台北市-信義區 光復南路
辦公，樓層：9/20
44分鐘內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",56坪,"82,772元",http://p1.cdn.591.com.tw/house/active/2015/04/28/143020592582684204_128x92.jpg
民權西路站雅緻辦.時尚舒適格局大方.超棒,rent-detail-3393913.html,"民權西路站雅緻辦.時尚舒適格局大方.超棒黃金曝光
民權西路站雅緻辦.時尚舒適格局大方.超棒
民權西路站雅緻辦.時尚舒適格局大方.超棒
黃金曝光
台北市-中山區 撫順街
辦公，樓層：5/7
44分鐘內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",102.3坪,"150,000元",http://p1.cdn.591.com.tw/house/active/2015/05/29/143288618894425404_128x92.jpg
全新裝潢創業辦公室-月租4500全包,rent-detail-3415589.html,"全新裝潢創業辦公室-月租4500全包黃金曝光
全新裝潢創業辦公室-月租4500全包
全新裝潢創業辦公室-月租4500全包
黃金曝光
台北市-中山區 伊通街58號
辦公，樓層：4/7
44分鐘內更新  代理人 龔先生  
地圖收藏問答(2)
地圖
收藏
問答(2)",1坪,"4,500元",http://p2.cdn.591.com.tw/house/active/2015/01/12/142107665281366700_128x92.jpg
永春商圈舒適辦簡潔方正明亮格局機能便利.,rent-detail-3439839.html,"永春商圈舒適辦簡潔方正明亮格局機能便利.黃金曝光
永春商圈舒適辦簡潔方正明亮格局機能便利.
永春商圈舒適辦簡潔方正明亮格局機能便利.
黃金曝光
台北市-信義區 忠孝東路五段
辦公，樓層：5/10
49分鐘內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",55.4坪,"79,545元",http://p1.cdn.591.com.tw/house/active/2015/05/19/143202223173510409_128x92.jpg
敦化南路精選辦公室,rent-detail-2458802.html,"敦化南路精選辦公室黃金曝光
敦化南路精選辦公室
敦化南路精選辦公室
黃金曝光
台北市-松山區 敦化南路一段100巷
辦公，樓層：1/7
49分鐘內更新  仲介 李先生  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",45坪,"62,000元",http://p2.cdn.591.com.tw/house/active/2015/06/08/143375452544076808_128x92.jpg
大安捷運辦公室信義路捷運站辦公室,rent-detail-3399978.html,"大安捷運辦公室信義路捷運站辦公室黃金曝光
大安捷運辦公室信義路捷運站辦公室
大安捷運辦公室信義路捷運站辦公室
黃金曝光
台北市-大安區 信義路四段
辦公，樓層：14/17
49分鐘內更新  仲介 黃先生  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",78坪,"118,000元",http://p1.cdn.591.com.tw/house/active/2015/05/09/143116184203707508_128x92.jpg
"近捷運機能全,風雅格局舒適質感,超優!",rent-detail-3424995.html,"近捷運機能全,風雅格局舒適質感,超優!黃金曝光
近捷運機能全,風雅格局舒適質感,超優!
近捷運機能全,風雅格局舒適質感,超優!
黃金曝光
台北市-中正區 中華路一段
辦公，樓層：4/14
49分鐘內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",44坪,"80,000元",http://p2.cdn.591.com.tw/house/active/2015/05/12/143141903796046404_128x92.jpg
進駐台北南京商業核心-仁富商務中心,rent-detail-3330396.html,"進駐台北南京商業核心-仁富商務中心黃金曝光
進駐台北南京商業核心-仁富商務中心
進駐台北南京商業核心-仁富商務中心
黃金曝光
再保大樓　台北市-中山區 南京東路二段53號
再保大樓
辦公，樓層：6/13
49分鐘內更新  代理人 江小姐  
地圖收藏問答(3)
地圖
收藏
問答(3)",3坪,"5,000元",http://p1.cdn.591.com.tw/house/active/2015/03/30/142770066089721607_128x92.jpg
"小巨蛋站商務機能棒,時尚裝潢舒適有感超優",rent-detail-3421400.html,"小巨蛋站商務機能棒,時尚裝潢舒適有感超優黃金曝光
小巨蛋站商務機能棒,時尚裝潢舒適有感超優
小巨蛋站商務機能棒,時尚裝潢舒適有感超優
黃金曝光
台北市-松山區 南京東路四段
辦公，樓層：8/14
49分鐘內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",425坪,"825,562元",http://p1.cdn.591.com.tw/house/active/2015/06/10/143392185190354000_128x92.jpg
百貫商務中心優質辦公室價格最優,rent-detail-3410180.html,"百貫商務中心優質辦公室價格最優黃金曝光
百貫商務中心優質辦公室價格最優
百貫商務中心優質辦公室價格最優
黃金曝光
中央商業大樓　台北市-中山區 復興北路181號
辦公，樓層：2/12
54分鐘內更新  屋主 李先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",2坪,"8,000元",http://p1.cdn.591.com.tw/house/active/2015/06/04/143338718340834309_128x92.jpg
工商登記，公司設立聯絡處，只要2500元,rent-detail-3436597.html,"工商登記，公司設立聯絡處，只要2500元黃金曝光
工商登記，公司設立聯絡處，只要2500元
工商登記，公司設立聯絡處，只要2500元
黃金曝光
台北市-中山區 南京東路二段95號
辦公，樓層：11/11
59分鐘內更新  屋主 陳先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",2坪,"2,500元",http://p2.cdn.591.com.tw/house/active/2014/04/01/139633608100975909_128x92.jpg
全新*文創風*小型辦公室*(微風忠孝館),rent-detail-3380107.html,"全新*文創風*小型辦公室*(微風忠孝館)黃金曝光
全新*文創風*小型辦公室*(微風忠孝館)
全新*文創風*小型辦公室*(微風忠孝館)
黃金曝光
華新大樓　台北市-大安區 忠孝東路四段221號
華新大樓
辦公，樓層：8/12
59分鐘內更新  屋主 黃小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",2坪,"11,000元",http://p2.cdn.591.com.tw/house/active/2015/03/23/142709422784551304_128x92.jpg
安和站機能佳格局優出入單純低公設實用辦!,rent-detail-3375608.html,"安和站機能佳格局優出入單純低公設實用辦!
安和站機能佳格局優出入單純低公設實用辦!
安和站機能佳格局優出入單純低公設實用辦!
台北市-大安區 信義路四段
辦公，樓層：9/12
59分鐘內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",78.5坪,"126,000元",http://p1.cdn.591.com.tw/house/active/2015/02/17/142416880114710200_128x92.jpg
電梯大樓辦公室,rent-detail-3433117.html,"電梯大樓辦公室黃金曝光
電梯大樓辦公室
電梯大樓辦公室
黃金曝光
白雲雙璽　台北市-信義區 永吉路
辦公，樓層：B1/11
59分鐘內更新  屋主 廖先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",60坪,"29,000元",http://p1.cdn.591.com.tw/house/active/2009/04/04/123880407119873004_128x92.jpg
善導寺站近文創園區超夯地段格局方正實用.,rent-detail-3393675.html,"善導寺站近文創園區超夯地段格局方正實用.黃金曝光
善導寺站近文創園區超夯地段格局方正實用.
善導寺站近文創園區超夯地段格局方正實用.
黃金曝光
台北市-中正區 忠孝東路一段
辦公，樓層：7/12
59分鐘內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",70坪,"112,000元",http://p1.cdn.591.com.tw/house/active/2015/05/29/143288081022780506_128x92.jpg
京站商圈雅緻舒適現成辦五鐵共構機能讚!,rent-detail-3418807.html,"京站商圈雅緻舒適現成辦五鐵共構機能讚!黃金曝光
京站商圈雅緻舒適現成辦五鐵共構機能讚!
京站商圈雅緻舒適現成辦五鐵共構機能讚!
黃金曝光
台北市-大同區 承德路一段
辦公，樓層：4/12
59分鐘內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",152坪,"243,200元",http://p2.cdn.591.com.tw/house/active/2015/06/09/143383095152853807_128x92.jpg
雅緻時尚優質空間香榭大道VIWE美視野讚,rent-detail-3421679.html,"雅緻時尚優質空間香榭大道VIWE美視野讚黃金曝光
雅緻時尚優質空間香榭大道VIWE美視野讚
雅緻時尚優質空間香榭大道VIWE美視野讚
黃金曝光
台北市-大安區 敦化南路二段
辦公，樓層：26/27
2小時內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",220坪,"594,000元",http://p1.cdn.591.com.tw/house/active/2015/06/10/143392781017839909_128x92.jpg
信義商圈最超值近捷運機能格局讚視野超棒!,rent-detail-3423562.html,"信義商圈最超值近捷運機能格局讚視野超棒!黃金曝光
信義商圈最超值近捷運機能格局讚視野超棒!
信義商圈最超值近捷運機能格局讚視野超棒!
黃金曝光
台北市-信義區 基隆路二段
辦公，樓層：20/21
2小時內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",130坪,"200,000元",http://p1.cdn.591.com.tw/house/active/2015/06/11/143400715120854604_128x92.jpg
純辦公室出租格局方正光線佳近捷運,rent-detail-3433951.html,"純辦公室出租格局方正光線佳近捷運黃金曝光
純辦公室出租格局方正光線佳近捷運
純辦公室出租格局方正光線佳近捷運
黃金曝光
瑞星大樓　台北市-中山區 中山北路二段112號
辦公，樓層：3/12
2小時內更新  代理人 王先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",20坪,"25,000元",http://p2.cdn.591.com.tw/house/active/2015/06/16/143443351745437806_128x92.jpg
舒適愉悅的工作空間,rent-detail-3376949.html,"舒適愉悅的工作空間黃金曝光
舒適愉悅的工作空間
舒適愉悅的工作空間
黃金曝光
台北市-大安區 信義路四段
辦公，樓層：6/12
2小時內更新  代理人 陳先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",4坪,"20,000元",http://p1.cdn.591.com.tw/house/active/2015/01/14/142120826082165503_128x92.jpg
"近西湖站活時尚辦,清新明亮大樓氣派.讚",rent-detail-3375889.html,"近西湖站活時尚辦,清新明亮大樓氣派.讚
近西湖站活時尚辦,清新明亮大樓氣派.讚
近西湖站活時尚辦,清新明亮大樓氣派.讚
台北市-內湖區 洲子街
辦公，樓層：5/12
2小時內更新  仲介 松華商仲   吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",93.4坪,"136,000元",http://p2.cdn.591.com.tw/house/active/2015/05/20/143211691461923208_128x92.jpg
夢想盒﻿﻿~完成夢想的幸福空間,rent-detail-3429949.html,"夢想盒﻿﻿~完成夢想的幸福空間黃金曝光
夢想盒﻿﻿~完成夢想的幸福空間
夢想盒﻿﻿~完成夢想的幸福空間
黃金曝光
國揚大樓　台北市-中正區 博愛路
辦公，樓層：8/9
2小時內更新  屋主 李小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",3坪,"6,000元",http://p1.cdn.591.com.tw/house/active/2015/04/07/142838751017308502_128x92.jpg
整潔明亮廠辦宅,rent-detail-3423376.html,"整潔明亮廠辦宅黃金曝光
整潔明亮廠辦宅
整潔明亮廠辦宅
黃金曝光
臺銀人壽內湖科技大樓　台北市-內湖區 瑞光路102號
辦公，樓層：2/5
2小時內更新  屋主 李小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",348.2坪,"348,170元",http://p1.cdn.591.com.tw/house/active/2015/04/08/142846621795333304_128x92.jpg
內湖科技園區鑽石廠辦宅,rent-detail-3423381.html,"內湖科技園區鑽石廠辦宅黃金曝光
內湖科技園區鑽石廠辦宅
內湖科技園區鑽石廠辦宅
黃金曝光
臺銀人壽內湖科技大樓　台北市-內湖區 瑞光路102號
辦公，樓層：5/5
2小時內更新  屋主 李小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",353.6坪,"353,620元",http://p2.cdn.591.com.tw/house/active/2015/04/08/142847785634123101_128x92.jpg
"東區指標辦捷運沿線機能讚,洽商通勤好地段",rent-detail-3410314.html,"東區指標辦捷運沿線機能讚,洽商通勤好地段黃金曝光
東區指標辦捷運沿線機能讚,洽商通勤好地段
東區指標辦捷運沿線機能讚,洽商通勤好地段
黃金曝光
台北市-大安區 忠孝東路四段
辦公，樓層：6/14
2小時內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",82坪,"131,200元",http://p2.cdn.591.com.tw/house/active/2015/06/05/143349155485465103_128x92.jpg
全新超值辦公室震撼價~只要8000元,rent-detail-3409495.html,"全新超值辦公室震撼價~只要8000元黃金曝光
全新超值辦公室震撼價~只要8000元
全新超值辦公室震撼價~只要8000元
黃金曝光
台北市-中正區 忠孝西路一段7號
辦公，樓層：5/11
2小時內更新  屋主 陳先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",5坪,"8,000元",http://p2.cdn.591.com.tw/house/active/2015/06/05/143347449119288305_128x92.jpg
內科~極稀有無塵室廠辦~,rent-detail-3423384.html,"內科~極稀有無塵室廠辦~黃金曝光
內科~極稀有無塵室廠辦~
內科~極稀有無塵室廠辦~
黃金曝光
臺銀人壽內湖科技大樓　台北市-內湖區 瑞光路100號
辦公，樓層：B1/5
2小時內更新  屋主 李小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",566.5坪,"509,850元",http://p2.cdn.591.com.tw/house/active/2015/05/06/143087542728802305_128x92.jpg
"西湖公園旁唯美辦,超優質感雅緻裝潢.水喔",rent-detail-3419015.html,"西湖公園旁唯美辦,超優質感雅緻裝潢.水喔黃金曝光
西湖公園旁唯美辦,超優質感雅緻裝潢.水喔
西湖公園旁唯美辦,超優質感雅緻裝潢.水喔
黃金曝光
台北市-內湖區 堤頂大道二段407巷
辦公，樓層：7/10
2小時內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",120坪,"180,000元",http://p2.cdn.591.com.tw/house/active/2015/06/09/143383453022695302_128x92.jpg
隔間裝潢，辦公設備全，物超所值，立可遷入,rent-detail-3389392.html,"隔間裝潢，辦公設備全，物超所值，立可遷入黃金曝光
隔間裝潢，辦公設備全，物超所值，立可遷入
隔間裝潢，辦公設備全，物超所值，立可遷入
黃金曝光
台北smart　台北市-內湖區 瑞光路8號
辦公，樓層：5/8
2小時內更新  代理人 高小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",67坪,"70,000元",http://p2.cdn.591.com.tw/house/active/2015/05/27/143271182455616903_128x92.jpg
辦公也要樂活,rent-detail-3419682.html,"辦公也要樂活黃金曝光
辦公也要樂活
辦公也要樂活
黃金曝光
icome　台北市-內湖區 南京東路六段350-2號
辦公，樓層：8/12
2小時內更新  屋主 張小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",28坪,"55,000元",http://p1.cdn.591.com.tw/house/active/2015/04/03/142806339123204309_128x92.jpg
近西湖站漂亮高雅辦視覺唯美機能優看屋GO,rent-detail-3438898.html,"近西湖站漂亮高雅辦視覺唯美機能優看屋GO黃金曝光
近西湖站漂亮高雅辦視覺唯美機能優看屋GO
近西湖站漂亮高雅辦視覺唯美機能優看屋GO
黃金曝光
台北市-內湖區 基湖路3巷
辦公，樓層：2/8
2小時內更新  仲介 松華商仲  吳經理  已認證
已認證
地圖收藏問答(0)
地圖
收藏
問答(0)",85.3坪,"116,291元",http://p2.cdn.591.com.tw/house/active/2015/06/18/143461843278534500_128x92.jpg
全新商辦；格局方正；戶數單純,rent-detail-3375274.html,"全新商辦；格局方正；戶數單純黃金曝光
全新商辦；格局方正；戶數單純
全新商辦；格局方正；戶數單純
黃金曝光
台北市-內湖區 新湖三路
辦公，樓層：3/6
2小時內更新  屋主 陳小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",119坪,"142,800元",http://p2.cdn.591.com.tw/house/active/2014/03/07/139415795699891700_128x92.jpg
